ProbeSet,LocusLink,Symbol,GeneID
11715362_at,LOC8992,ATP6V0E1,ATP6V0E1_11715362_at
11715363_a_at,LOC2,A2M,A2M_11715363_a_at
11715364_a_at,LOC25803,SPDEF,SPDEF_11715364_a_at
11715365_x_at,LOC25803,SPDEF,SPDEF_11715365_x_at
11715366_a_at,LOC4735,2-Sep,2-Sep_11715366_a_at
11715367_s_at,LOC4735,2-Sep,2-Sep_11715367_s_at
11715368_a_at,LOC710,SERPING1,SERPING1_11715368_a_at
11715369_s_at,LOC4697,NDUFA4,NDUFA4_11715369_s_at
11715370_s_at,LOC3959,LGALS3BP,LGALS3BP_11715370_s_at
11715371_a_at,LOC7317,UBA1,UBA1_11715371_a_at
11715372_a_at,LOC4190,MDH1,MDH1_11715372_a_at
11715373_a_at,LOC10155,TRIM28,TRIM28_11715373_a_at
11715374_a_at,LOC811,CALR,CALR_11715374_a_at
11715375_x_at,LOC811,CALR,CALR_11715375_x_at
11715376_a_at,LOC6205,RPS11,RPS11_11715376_a_at
11715377_x_at,LOC1327,COX4I1,COX4I1_11715377_x_at
11715378_x_at,LOC7038,TG,TG_11715378_x_at
11715379_a_at,LOC55353,LAPTM4B,LAPTM4B_11715379_a_at
11715380_s_at,LOC55353,LAPTM4B,LAPTM4B_11715380_s_at
11715381_a_at,LOC55353,LAPTM4B,LAPTM4B_11715381_a_at
11715382_x_at,LOC23646,PLD3,PLD3_11715382_x_at
11715383_a_at,LOC11331,PHB2,PHB2_11715383_a_at
11715384_x_at,LOC11331,PHB2,PHB2_11715384_x_at
11715385_s_at,LOC54543,TOMM7,TOMM7_11715385_s_at
11715386_at,LOC5967,REG1A,REG1A_11715386_at
11715387_at,LOC1026,CDKN1A,CDKN1A_11715387_at
11715388_s_at,LOC1026,CDKN1A,CDKN1A_11715388_s_at
11715389_x_at,LOC2280,FKBP1A,FKBP1A_11715389_x_at
11715390_s_at,LOC2280,FKBP1A,FKBP1A_11715390_s_at
11715391_s_at,LOC23787,MTCH1,MTCH1_11715391_s_at
11715392_x_at,LOC23787,MTCH1,MTCH1_11715392_x_at
11715393_a_at,LOC718,C3,C3_11715393_a_at
11715394_s_at,LOC975,CD81,CD81_11715394_s_at
11715395_a_at,,BLOC1S5-TXNDC5 || TXNDC5,BLOC1S5-TXNDC5 || TXNDC5_11715395_a_at
11715396_s_at,,BLOC1S5-TXNDC5 || TXNDC5,BLOC1S5-TXNDC5 || TXNDC5_11715396_s_at
11715397_x_at,LOC10916,MAGED2,MAGED2_11715397_x_at
